"PreSens Measurement Studio 2","3.0.3.1703",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"06/15/2021","18:54:05","3","Framsted","175401527","Batch 3_1_1_2","0.350","min","6.451","ppm (mg/L)","Humid","29.275","deg","15712","µV","23.075","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48584.14","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:08","1","Framsted","125448721","Batch 3_1_1","0.400","min","6.806","ppm (mg/L)","Humid","28.683","deg","30406","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48896.99","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:54:08","4","Framsted","141697176","Batch 3_1_1_3","0.400","min","6.818","ppm (mg/L)","Humid","28.664","deg","20941","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49303.84","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:08","2","Framsted","190253489","Batch 3_1_1_1","0.400","min","6.659","ppm (mg/L)","Humid","28.922","deg","24545","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49389.00","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:08","3","Framsted","175401527","Batch 3_1_1_2","0.400","min","6.438","ppm (mg/L)","Humid","29.294","deg","15714","µV","23.081","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48577.74","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:11","1","Framsted","125448721","Batch 3_1_1","0.450","min","6.814","ppm (mg/L)","Humid","28.678","deg","30402","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48898.90","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
"06/15/2021","18:54:11","4","Framsted","141697176","Batch 3_1_1_3","0.450","min","6.823","ppm (mg/L)","Humid","28.662","deg","20941","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","49305.09","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:11","2","Framsted","190253489","Batch 3_1_1_1","0.450","min","6.671","ppm (mg/L)","Humid","28.909","deg","24556","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","49382.63","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:11","3","Framsted","175401527","Batch 3_1_1_2","0.450","min","6.447","ppm (mg/L)","Humid","29.285","deg","15717","µV","23.063","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.50","0","2500.00","48576.94","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","3/2/2021 12:48:23 PM","0000-00","0","no battery","V"
"06/15/2021","18:54:14","1","Framsted","125448721","Batch 3_1_1","0.500","min","6.807","ppm (mg/L)","Humid","28.697","deg","30401","µV","23.038","°C","1015.000","hPa","0.0","pmil","0","60.660","deg","20.000","°C","100.000","%a.s.","27.160","deg","20.000","°C","975.000","hPa","0.808","-0.0803","0.000433","0","0","29.87","Humid","5.00","0","2500.00","48897.07","Tank 4","ABF1.0.0.0","3.0.3.1703","PSt3","170718-001","2/1/2021 11:16:45 AM","0000-00","0","no battery","V"
