7530-426576
OS REV: 1.03 Sensor Cal: 1526022000
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1595269120, +3.52, +26.574,  -0.44344,  -0.636,  +0.956,  -0.192
1595269125, +3.52, +26.598,  +0.34863,  -0.645,  +0.945,  -0.146
1595269130, +3.52, +26.598,  -0.36543,  -0.644,  +0.974,  -0.212
1595269135, +3.52, +26.623,  +1.16770,  -0.639,  +0.944,  -0.160
1595269140, +3.52, +26.623,  -0.89048,  -0.637,  +0.976,  -0.205
1595269145, +3.52, +26.640,  -0.49444,  -0.641,  +0.939,  -0.156
1595269150, +3.52, +26.656,  -0.46144,  -0.649,  +0.967,  -0.200
1595269155, +3.52, +26.673,  +0.42964,  -0.644,  +0.967,  -0.208
1595269160, +3.52, +26.681,  -0.59645,  -0.636,  +0.963,  -0.204
1595269165, +3.52, +26.673,  +0.37263,  -0.637,  +0.931,  -0.153
1595269170, +3.52, +26.698,  +0.40264,  -0.637,  +0.967,  -0.196
1595269175, +3.52, +26.714,  -0.41644,  -0.644,  +0.974,  -0.216
1595269180, +3.52, +26.714,  +0.32163,  -0.641,  +0.935,  -0.160
1595269185, +3.52, +26.739,  +0.00960,  -0.639,  +0.967,  -0.208
1595269190, +3.52, +26.747,  -0.67446,  -0.642,  +0.972,  -0.210
1595269195, +3.52, +26.764,  -0.65046,  -0.648,  +0.960,  -0.196
1595269200, +3.52, +26.772,  -0.79747,  -0.641,  +0.940,  -0.144
1595269205, +3.52, +26.780,  -1.03749,  -0.642,  +0.968,  -0.205
1595269210, +3.52, +26.789,  -1.20251,  -0.640,  +0.955,  -0.188
1595269215, +3.52, +26.789,  -0.95648,  -0.644,  +0.935,  -0.140
1595269220, +3.52, +26.822,  -0.86648,  -0.636,  +0.972,  -0.205
1595269225, +3.52, +26.830,  +0.43564,  -0.644,  +0.961,  -0.196
1595269230, +3.52, +26.838,  -0.97749,  -0.637,  +0.935,  -0.154
1595269235, +3.52, +26.847,  -0.29343,  -0.639,  +0.963,  -0.200
1595269240, +3.52, +26.863,  -0.18842,  -0.637,  +0.975,  -0.208
1595269245, +3.52, +26.871,  +0.48664,  -0.642,  +0.952,  -0.185
1595269250, +3.52, +26.880,  -0.49444,  -0.640,  +0.960,  -0.191
1595269255, +3.52, +26.888,  +0.13561,  -0.648,  +0.944,  -0.146
1595269260, +3.52, +26.904,  -0.64746,  -0.642,  +0.972,  -0.212
1595269265, +3.52, +26.904,  -0.56045,  -0.639,  +0.963,  -0.208
1595269270, +3.52, +26.921,  +0.30363,  -0.640,  +0.935,  -0.157
1595269275, +3.52, +26.938,  -1.35552,  -0.637,  +0.968,  -0.205
1595269280, +3.52, +26.946,  -0.25442,  -0.645,  +0.979,  -0.212
1595269285, +3.52, +26.962,  -0.17041,  -0.637,  +0.940,  -0.148
1595269290, +3.52, +26.954,  -0.85447,  -0.641,  +0.967,  -0.208
1595269295, +3.52, +26.995,  +0.31863,  -0.644,  +0.975,  -0.208
1595269300, +3.52, +26.987,  -0.71946,  -0.644,  +0.942,  -0.148
1595269305, +3.52, +27.012,  +0.42664,  -0.641,  +0.963,  -0.210
1595269310, +3.52, +27.012,  -0.36843,  -0.644,  +0.971,  -0.201
1595269315, +3.52, +27.004,  -0.11041,  -0.644,  +0.947,  -0.168
1595269320, +3.52, +27.020,  -0.44944,  -0.639,  +0.971,  -0.193
1595269325, +3.52, +27.045,  +0.15061,  -0.640,  +0.935,  -0.143
1595269330, +3.52, +27.053,  -0.49744,  -0.633,  +0.959,  -0.204
1595269335, +3.52, +27.061,  -0.71046,  -0.641,  +0.975,  -0.208
1595269340, +3.52, +27.086,  -0.36243,  -0.647,  +0.960,  -0.178
1595269345, +3.52, +27.078,  +0.15061,  -0.648,  +0.952,  -0.183
1595269350, +3.52, +27.094,  -0.96548,  -0.637,  +0.966,  -0.202
1595269355, +3.52, +27.111,  -0.81247,  -0.639,  +0.934,  -0.160
1595269360, +3.52, +27.094,  +0.02760,  -0.642,  +0.960,  -0.207
1595269365, +3.52, +27.128,  -0.19142,  -0.637,  +0.969,  -0.213
1595269370, +3.52, +27.136,  +0.00960,  -0.633,  +0.955,  -0.188
1595269375, +3.52, +27.136,  -0.31143,  -0.644,  +0.944,  -0.173
1595269380, +3.52, +27.161,  +0.03360,  -0.642,  +0.966,  -0.212
1595269385, +3.52, +27.169,  -0.67446,  -0.644,  +0.935,  -0.153
1595269390, +3.52, +27.177,  -0.09841,  -0.637,  +0.963,  -0.185
1595269395, +3.52, +27.202,  -0.92648,  -0.639,  +0.959,  -0.200
1595269400, +3.52, +27.202,  -0.14041,  -0.637,  +0.968,  -0.213
1595269405, +3.52, +27.202,  -0.70746,  -0.633,  +0.937,  -0.152
1595269410, +3.52, +27.218,  -0.31443,  -0.644,  +0.967,  -0.212
1595269415, +3.52, +27.235,  -0.15241,  -0.633,  +0.968,  -0.209
1595269420, +3.52, +27.235,  -0.32643,  -0.641,  +0.936,  -0.145
1595269425, +3.52, +27.235,  +0.13861,  -0.641,  +0.953,  -0.207
1595269430, +3.52, +27.260,  -0.42844,  -0.649,  +0.971,  -0.200
1595269435, +3.52, +27.268,  -0.38943,  -0.644,  +0.972,  -0.212
1595269440, +3.52, +27.276,  -0.17942,  -0.644,  +0.944,  -0.153
1595269445, +3.52, +27.284,  -1.03749,  -0.639,  +0.960,  -0.202
1595269450, +3.52, +27.301,  -0.96848,  -0.639,  +0.960,  -0.207
1595269455, +3.52, +27.317,  +0.09961,  -0.641,  +0.963,  -0.200
1595269460, +3.52, +27.326,  +0.21962,  -0.633,  +0.940,  -0.144
1595269465, +3.52, +27.334,  -0.83047,  -0.645,  +0.960,  -0.186
1595269470, +3.52, +27.342,  -0.14341,  -0.637,  +0.967,  -0.207
1595269475, +3.52, +27.342,  +0.50164,  -0.637,  +0.960,  -0.197
1595269480, +3.52, +27.359,  +0.44764,  -0.637,  +0.932,  -0.153
1595269485, +3.52, +27.359,  +0.49864,  -0.637,  +0.956,  -0.196
1595269490, +3.52, +27.375,  +0.36363,  -0.639,  +0.971,  -0.199
1595269495, +3.52, +27.383,  -0.03840,  -0.644,  +0.967,  -0.217
1595269500, +3.52, +27.383,  -0.18842,  -0.640,  +0.939,  -0.151
1595269505, +3.52, +27.400,  +0.43264,  -0.641,  +0.956,  -0.196
1595269510, +3.52, +27.408,  -0.69846,  -0.639,  +0.972,  -0.201
1595269515, +3.52, +27.424,  -0.39543,  -0.634,  +0.974,  -0.212
1595269520, +3.52, +27.424,  +0.49864,  -0.644,  +0.937,  -0.160
1595269525, +3.52, +27.449,  -0.21542,  -0.650,  +0.953,  -0.193
1595269530, +3.52, +27.449,  -0.19142,  -0.644,  +0.967,  -0.208
1595269535, +3.52, +27.466,  -0.60545,  -0.644,  +0.972,  -0.193
1595269540, +3.52, +27.490,  -0.32943,  -0.637,  +0.935,  -0.143
1595269545, +3.52, +27.490,  -0.31743,  -0.644,  +0.960,  -0.207
1595269550, +3.52, +27.490,  -0.05941,  -0.648,  +0.968,  -0.205
1595269555, +3.52, +27.507,  -0.09241,  -0.637,  +0.971,  -0.212
1595269560, +3.52, +27.523,  +0.45364,  -0.645,  +0.931,  -0.157
1595269565, +3.52, +27.515,  -0.95948,  -0.644,  +0.960,  -0.196
1595269570, +3.52, +27.548,  -0.77647,  -0.640,  +0.967,  -0.196
1595269575, +3.52, +27.548,  -0.31743,  -0.644,  +0.967,  -0.212
1595269580, +3.52, +27.556,  -0.16141,  -0.642,  +0.935,  -0.148
1595269585, +3.52, +27.565,  -0.60845,  -0.637,  +0.964,  -0.207
1595269590, +3.52, +27.565,  -0.41644,  -0.641,  +0.972,  -0.210
1595269595, +3.52, +27.581,  -0.58445,  -0.640,  +0.935,  -0.151
1595269600, +3.52, +27.589,  -0.30843,  -0.644,  +0.961,  -0.221
1595269605, +3.51, +27.606,  -0.71946,  -0.642,  +0.960,  -0.210
1595269610, +3.52, +27.606,  -0.08941,  -0.653,  +0.934,  -0.146
1595269615, +3.51, +27.614,  -0.17942,  -0.661,  +0.966,  -0.193
1595269620, +3.51, +27.630,  -0.08641,  -0.468,  +0.982,  -0.292
1595269625, +3.51, +27.639,  -0.06241,  -0.496,  +0.987,  -0.279
1595269630, +3.51, +27.639,  -0.41644,  -0.482,  +0.960,  -0.221
1595269635, +3.52, +27.663,  +0.42064,  -0.482,  +0.979,  -0.281
1595269640, +3.51, +27.672,  -1.31952,  -0.482,  +0.968,  -0.269
1595269645, +3.51, +27.680,  +0.12061,  -0.474,  +0.972,  -0.272
1595269650, +3.51, +27.688,  -0.08641,  -0.481,  +0.944,  -0.225
1595269655, +3.51, +27.696,  -1.46353,  -0.488,  +0.972,  -0.269
1595269660, +3.51, +27.704,  -0.46444,  -0.482,  +0.976,  -0.296
1595269665, +3.51, +27.713,  -0.41944,  -0.477,  +0.984,  -0.287
1595269670, +3.51, +27.721,  -1.30451,  -0.473,  +0.952,  -0.225
1595269675, +3.51, +27.737,  -0.46444,  -0.473,  +0.976,  -0.293
1595269680, +3.51, +27.721,  +0.63066,  -0.473,  +0.984,  -0.296
1595269685, +3.51, +27.737,  -0.04140,  -0.481,  +0.956,  -0.228
1595269690, +3.51, +27.746,  -0.30843,  -0.473,  +0.985,  -0.288
1595269695, +3.51, +27.762,  +0.30063,  -0.474,  +0.968,  -0.271
1595269700, +3.51, +27.779,  +0.33663,  -0.468,  +0.947,  -0.225
